session_id,run_id,platform,device_model,os_version,build_type,app_version,scenario,metric,iteration,value,unit,server_ms,recorded_at_ms,recorded_at_utc
ses_05,ses_05_S1,REACT_NATIVE,2409BRN2CY,android 16,RELEASE,1.0.0,S1,STARTUP_MS,1,635.443,ms,16.348,1788964555864,2026-09-09T14:35:55.864Z
ses_05,ses_05_S1,REACT_NATIVE,2409BRN2CY,android 16,RELEASE,1.0.0,S1,STARTUP_MS,2,546.049,ms,7.245,1788964566564,2026-09-09T14:36:06.564Z
ses_05,ses_05_S1,REACT_NATIVE,2409BRN2CY,android 16,RELEASE,1.0.0,S1,STARTUP_MS,3,569.422,ms,11.703,1788964574503,2026-09-09T14:36:14.503Z
ses_05,ses_05_S1,REACT_NATIVE,2409BRN2CY,android 16,RELEASE,1.0.0,S1,STARTUP_MS,4,559.607,ms,7.168,1788964582596,2026-09-09T14:36:22.596Z
ses_05,ses_05_S1,REACT_NATIVE,2409BRN2CY,android 16,RELEASE,1.0.0,S1,STARTUP_MS,5,583.343,ms,7.93,1788964590787,2026-09-09T14:36:30.787Z
ses_05,ses_05_S1,REACT_NATIVE,2409BRN2CY,android 16,RELEASE,1.0.0,S1,STARTUP_MS,6,579.931,ms,7.851,1788964598613,2026-09-09T14:36:38.613Z
ses_05,ses_05_S1,REACT_NATIVE,2409BRN2CY,android 16,RELEASE,1.0.0,S1,STARTUP_MS,7,547.574,ms,8.156,1788964607006,2026-09-09T14:36:47.006Z
ses_05,ses_05_S1,REACT_NATIVE,2409BRN2CY,android 16,RELEASE,1.0.0,S1,STARTUP_MS,8,657.851,ms,8.711,1788964615029,2026-09-09T14:36:55.029Z
ses_05,ses_05_S1,REACT_NATIVE,2409BRN2CY,android 16,RELEASE,1.0.0,S1,STARTUP_MS,9,610.2,ms,8.037,1788964623181,2026-09-09T14:37:03.181Z
ses_05,ses_05_S1,REACT_NATIVE,2409BRN2CY,android 16,RELEASE,1.0.0,S1,STARTUP_MS,10,578.199,ms,10.749,1788964631215,2026-09-09T14:37:11.215Z
ses_05,ses_05_S1,REACT_NATIVE,2409BRN2CY,android 16,RELEASE,1.0.0,S1,STARTUP_MS,11,533.032,ms,7.668,1788964639309,2026-09-09T14:37:19.309Z
ses_05,ses_05_S1,REACT_NATIVE,2409BRN2CY,android 16,RELEASE,1.0.0,S1,STARTUP_MS,12,538.326,ms,6.799,1788964647455,2026-09-09T14:37:27.455Z
ses_05,ses_05_S1,REACT_NATIVE,2409BRN2CY,android 16,RELEASE,1.0.0,S1,STARTUP_MS,13,552.48,ms,9.037,1788964655427,2026-09-09T14:37:35.427Z
ses_05,ses_05_S1,REACT_NATIVE,2409BRN2CY,android 16,RELEASE,1.0.0,S1,STARTUP_MS,14,593.803,ms,6.876,1788964663440,2026-09-09T14:37:43.440Z
ses_05,ses_05_S1,REACT_NATIVE,2409BRN2CY,android 16,RELEASE,1.0.0,S1,STARTUP_MS,15,609.888,ms,6.609,1788964671624,2026-09-09T14:37:51.624Z
ses_05,ses_05_S1,REACT_NATIVE,2409BRN2CY,android 16,RELEASE,1.0.0,S1,STARTUP_MS,16,617.666,ms,3.82,1788964679856,2026-09-09T14:37:59.856Z
ses_05,ses_05_S1,REACT_NATIVE,2409BRN2CY,android 16,RELEASE,1.0.0,S1,STARTUP_MS,17,560.907,ms,11.445,1788964687717,2026-09-09T14:38:07.717Z
ses_05,ses_05_S1,REACT_NATIVE,2409BRN2CY,android 16,RELEASE,1.0.0,S1,STARTUP_MS,18,546.663,ms,5.88,1788964696622,2026-09-09T14:38:16.622Z
ses_05,ses_05_S1,REACT_NATIVE,2409BRN2CY,android 16,RELEASE,1.0.0,S1,STARTUP_MS,19,561.759,ms,13.782,1788964704868,2026-09-09T14:38:24.868Z
ses_05,ses_05_S1,REACT_NATIVE,2409BRN2CY,android 16,RELEASE,1.0.0,S1,STARTUP_MS,20,668.668,ms,6.238,1788964712995,2026-09-09T14:38:32.995Z
ses_05,ses_05_S1,REACT_NATIVE,2409BRN2CY,android 16,RELEASE,1.0.0,S1,STARTUP_MS,21,542.764,ms,10.782,1788964721183,2026-09-09T14:38:41.183Z
ses_05,ses_05_S1,REACT_NATIVE,2409BRN2CY,android 16,RELEASE,1.0.0,S1,STARTUP_MS,22,623.3,ms,7.702,1788964729327,2026-09-09T14:38:49.327Z
ses_05,ses_05_S1,REACT_NATIVE,2409BRN2CY,android 16,RELEASE,1.0.0,S1,STARTUP_MS,23,529.332,ms,7.445,1788964737434,2026-09-09T14:38:57.434Z
ses_05,ses_05_S1,REACT_NATIVE,2409BRN2CY,android 16,RELEASE,1.0.0,S1,STARTUP_MS,24,562.428,ms,8.288,1788964746502,2026-09-09T14:39:06.502Z
ses_05,ses_05_S1,REACT_NATIVE,2409BRN2CY,android 16,RELEASE,1.0.0,S1,STARTUP_MS,25,625.886,ms,6.289,1788964754626,2026-09-09T14:39:14.626Z
ses_05,ses_05_S1,REACT_NATIVE,2409BRN2CY,android 16,RELEASE,1.0.0,S1,STARTUP_MS,26,568.539,ms,4.244,1788964762974,2026-09-09T14:39:22.974Z
ses_05,ses_05_S1,REACT_NATIVE,2409BRN2CY,android 16,RELEASE,1.0.0,S1,STARTUP_MS,27,544.369,ms,5.755,1788964771156,2026-09-09T14:39:31.156Z
ses_05,ses_05_S1,REACT_NATIVE,2409BRN2CY,android 16,RELEASE,1.0.0,S1,STARTUP_MS,28,639.157,ms,11.86,1788964779490,2026-09-09T14:39:39.490Z
ses_05,ses_05_S1,REACT_NATIVE,2409BRN2CY,android 16,RELEASE,1.0.0,S1,STARTUP_MS,29,573.239,ms,6.97,1788964787707,2026-09-09T14:39:47.707Z
ses_05,ses_05_S1,REACT_NATIVE,2409BRN2CY,android 16,RELEASE,1.0.0,S1,STARTUP_MS,30,553.979,ms,18.918,1788964795856,2026-09-09T14:39:55.856Z
ses_05,ses_05_S2,REACT_NATIVE,2409BRN2CY,android 16,RELEASE,1.0.0,S2,STARTUP_MS,1,579.256,ms,32.943,1788965588476,2026-09-09T14:53:08.476Z
ses_05,ses_05_S2,REACT_NATIVE,2409BRN2CY,android 16,RELEASE,1.0.0,S2,UI_RESPONSE_MS,1,92.093,ms,5.793,1788965592406,2026-09-09T14:53:12.406Z
ses_05,ses_05_S2,REACT_NATIVE,2409BRN2CY,android 16,RELEASE,1.0.0,S2,UI_RESPONSE_MS,2,98.297,ms,2.337,1788965600007,2026-09-09T14:53:20.007Z
ses_05,ses_05_S2,REACT_NATIVE,2409BRN2CY,android 16,RELEASE,1.0.0,S2,UI_RESPONSE_MS,3,115.274,ms,6.027,1788965606970,2026-09-09T14:53:26.970Z
ses_05,ses_05_S2,REACT_NATIVE,2409BRN2CY,android 16,RELEASE,1.0.0,S2,UI_RESPONSE_MS,4,115.699,ms,11.481,1788965614347,2026-09-09T14:53:34.347Z
ses_05,ses_05_S2,REACT_NATIVE,2409BRN2CY,android 16,RELEASE,1.0.0,S2,UI_RESPONSE_MS,5,98.245,ms,4.282,1788965621458,2026-09-09T14:53:41.458Z
ses_05,ses_05_S2,REACT_NATIVE,2409BRN2CY,android 16,RELEASE,1.0.0,S2,UI_RESPONSE_MS,6,113.528,ms,7.416,1788965628604,2026-09-09T14:53:48.604Z
