session_id,run_id,platform,device_model,os_version,build_type,app_version,scenario,metric,iteration,value,unit,server_ms,recorded_at_ms,recorded_at_utc
ses_02,ses_02_S1,REACT_NATIVE,2409BRN2CY,android 16,RELEASE,1.0.0,S1,STARTUP_MS,1,813.838,ms,35.099,1788811714661,2026-09-07T20:08:34.661Z
ses_02,ses_02_S1,REACT_NATIVE,2409BRN2CY,android 16,RELEASE,1.0.0,S1,STARTUP_MS,2,558.968,ms,11.715,1788811724914,2026-09-07T20:08:44.914Z
ses_02,ses_02_S1,REACT_NATIVE,2409BRN2CY,android 16,RELEASE,1.0.0,S1,STARTUP_MS,3,603.647,ms,5.715,1788811733572,2026-09-07T20:08:53.572Z
ses_02,ses_02_S1,REACT_NATIVE,2409BRN2CY,android 16,RELEASE,1.0.0,S1,STARTUP_MS,4,565.414,ms,6.235,1788811744016,2026-09-07T20:09:04.016Z
ses_02,ses_02_S1,REACT_NATIVE,2409BRN2CY,android 16,RELEASE,1.0.0,S1,STARTUP_MS,5,554.151,ms,9.874,1788811753908,2026-09-07T20:09:13.908Z
ses_02,ses_02_S1,REACT_NATIVE,2409BRN2CY,android 16,RELEASE,1.0.0,S1,STARTUP_MS,6,545.952,ms,6.36,1788811762518,2026-09-07T20:09:22.518Z
ses_02,ses_02_S1,REACT_NATIVE,2409BRN2CY,android 16,RELEASE,1.0.0,S1,STARTUP_MS,7,837.735,ms,10.439,1788811771136,2026-09-07T20:09:31.136Z
ses_02,ses_02_S1,REACT_NATIVE,2409BRN2CY,android 16,RELEASE,1.0.0,S1,STARTUP_MS,8,614.559,ms,10.442,1788811779078,2026-09-07T20:09:39.078Z
ses_02,ses_02_S1,REACT_NATIVE,2409BRN2CY,android 16,RELEASE,1.0.0,S1,STARTUP_MS,9,562.163,ms,15.886,1788811788169,2026-09-07T20:09:48.169Z
ses_02,ses_02_S1,REACT_NATIVE,2409BRN2CY,android 16,RELEASE,1.0.0,S1,STARTUP_MS,10,622.259,ms,12.999,1788811796623,2026-09-07T20:09:56.623Z
ses_02,ses_02_S1,REACT_NATIVE,2409BRN2CY,android 16,RELEASE,1.0.0,S1,STARTUP_MS,11,605.46,ms,10.306,1788811804863,2026-09-07T20:10:04.863Z
ses_02,ses_02_S1,REACT_NATIVE,2409BRN2CY,android 16,RELEASE,1.0.0,S1,STARTUP_MS,12,786.033,ms,20.352,1788811813942,2026-09-07T20:10:13.942Z
ses_02,ses_02_S1,REACT_NATIVE,2409BRN2CY,android 16,RELEASE,1.0.0,S1,STARTUP_MS,13,575.614,ms,6.904,1788811822212,2026-09-07T20:10:22.212Z
ses_02,ses_02_S1,REACT_NATIVE,2409BRN2CY,android 16,RELEASE,1.0.0,S1,STARTUP_MS,14,563.601,ms,10.649,1788811831532,2026-09-07T20:10:31.532Z
ses_02,ses_02_S1,REACT_NATIVE,2409BRN2CY,android 16,RELEASE,1.0.0,S1,STARTUP_MS,15,560.933,ms,14.599,1788811840244,2026-09-07T20:10:40.244Z
ses_02,ses_02_S1,REACT_NATIVE,2409BRN2CY,android 16,RELEASE,1.0.0,S1,STARTUP_MS,16,582.806,ms,20.752,1788811849318,2026-09-07T20:10:49.318Z
