session_id,run_id,platform,device_model,os_version,build_type,app_version,scenario,metric,iteration,value,unit,server_ms,recorded_at_ms,recorded_at_utc
ses_01,ses_01_S1,REACT_NATIVE,2409BRN2CY,android 16,RELEASE,1.0.0,S1,STARTUP_MS,1,650.545,ms,42.185,1788807465474,2026-09-07T18:57:45.474Z
ses_01,ses_01_S1,REACT_NATIVE,2409BRN2CY,android 16,RELEASE,1.0.0,S1,STARTUP_MS,2,668.08,ms,23.255,1788807476411,2026-09-07T18:57:56.411Z
ses_01,ses_01_S1,REACT_NATIVE,2409BRN2CY,android 16,RELEASE,1.0.0,S1,STARTUP_MS,3,548.685,ms,15.747,1788807486366,2026-09-07T18:58:06.366Z
ses_01,ses_01_S1,REACT_NATIVE,2409BRN2CY,android 16,RELEASE,1.0.0,S1,STARTUP_MS,4,582.644,ms,13.729,1788807495010,2026-09-07T18:58:15.010Z
ses_01,ses_01_S1,REACT_NATIVE,2409BRN2CY,android 16,RELEASE,1.0.0,S1,STARTUP_MS,5,600.554,ms,24.55,1788807504105,2026-09-07T18:58:24.105Z
ses_01,ses_01_S1,REACT_NATIVE,2409BRN2CY,android 16,RELEASE,1.0.0,S1,STARTUP_MS,6,565.318,ms,23.376,1788807512924,2026-09-07T18:58:32.924Z
ses_01,ses_01_S1,REACT_NATIVE,2409BRN2CY,android 16,RELEASE,1.0.0,S1,STARTUP_MS,7,566.189,ms,9.87,1788807521777,2026-09-07T18:58:41.777Z
ses_01,ses_01_S1,REACT_NATIVE,2409BRN2CY,android 16,RELEASE,1.0.0,S1,STARTUP_MS,8,612.264,ms,14.949,1788807530284,2026-09-07T18:58:50.284Z
ses_01,ses_01_S1,REACT_NATIVE,2409BRN2CY,android 16,RELEASE,1.0.0,S1,STARTUP_MS,9,634.483,ms,8.536,1788807538987,2026-09-07T18:58:58.987Z
ses_01,ses_01_S1,REACT_NATIVE,2409BRN2CY,android 16,RELEASE,1.0.0,S1,STARTUP_MS,10,597.62,ms,10.851,1788807548927,2026-09-07T18:59:08.927Z
