scenariusz,metryka,jednostka,n_rn,n_ionic,rn_mediana,rn_q1,rn_q3,rn_p95,ionic_mediana,ionic_q1,ionic_q3,ionic_p95,shapiro_p_rn,shapiro_p_ionic,mannwhitney_p,efekt_r,efekt_opis,lepsza
S1,STARTUP_MS,ms,90,90,592.68,564.37,650.43,871.05,581.25,559.7,611.38,729.04,0.0,0.0,0.029254,0.188,mała,Ionic
S2,STARTUP_MS,ms,3,3,669.02,664.65,701.39,727.29,557.6,549.9,931.75,1231.07,0.20829,0.03369,0.7,0.333,średnia,bez różnicy
S2,UI_RESPONSE_MS,ms,90,90,116.25,114.43,131.49,136.96,156.65,146.05,166.1,189.81,0.0,0.0,0.0,-0.906,duża,RN
S3,API_REQUEST_MS,ms,90,90,50.47,49.36,66.31,84.48,35.35,31.12,39.55,52.72,0.0,0.0,0.0,0.769,duża,Ionic
S3,RENDER_CHECKOUT_MS,ms,90,90,88.84,86.5,97.5,111.7,69.3,64.25,75.17,90.66,1e-05,4e-05,0.0,0.848,duża,Ionic
S3,RENDER_ORDERS_MS,ms,90,90,78.27,68.14,82.43,102.01,31.8,29.0,36.3,45.31,0.0,0.01954,0.0,0.997,duża,Ionic
S3,REQUEST_BUILD_MS,ms,90,90,0.02,0.02,0.03,0.06,0.0,0.0,0.1,0.2,0.0,0.0,0.005759,0.235,mała,Ionic
S3,STARTUP_MS,ms,3,3,713.05,667.52,814.64,895.91,590.1,571.35,733.15,847.59,0.58641,0.20269,0.4,0.556,duża,bez różnicy
S3,UI_RESPONSE_MS,ms,90,90,115.26,114.45,131.18,148.75,158.4,150.1,166.25,201.67,0.0,0.0,0.0,-0.929,duża,RN
