timestamp,platform,run_id,pss_mb,cpu_percent
1788984649,REACT_NATIVE,ses_06r_S3,15.20,161
1788984650,REACT_NATIVE,ses_06r_S3,158.78,3.3
1788984651,REACT_NATIVE,ses_06r_S3,156.84,26.6
1788984652,REACT_NATIVE,ses_06r_S3,157.69,20.0
1788984654,REACT_NATIVE,ses_06r_S3,170.36,70.9
1788984655,REACT_NATIVE,ses_06r_S3,178.66,20.0
1788984656,REACT_NATIVE,ses_06r_S3,178.47,26.6
1788984657,REACT_NATIVE,ses_06r_S3,183.60,61.2
1788984659,REACT_NATIVE,ses_06r_S3,204.17,64.5
1788984660,REACT_NATIVE,ses_06r_S3,203.83,16.6
1788984661,REACT_NATIVE,ses_06r_S3,203.68,20.0
1788984662,REACT_NATIVE,ses_06r_S3,208.47,45.1
1788984663,REACT_NATIVE,ses_06r_S3,208.34,3.2
1788984665,REACT_NATIVE,ses_06r_S3,204.26,16.6
1788984666,REACT_NATIVE,ses_06r_S3,197.30,67.7
1788984667,REACT_NATIVE,ses_06r_S3,203.11,66.6
1788984668,REACT_NATIVE,ses_06r_S3,202.04,23.3
1788984670,REACT_NATIVE,ses_06r_S3,202.24,20.0
1788984671,REACT_NATIVE,ses_06r_S3,202.10,30.0
1788984672,REACT_NATIVE,ses_06r_S3,203.80,6.6
1788984673,REACT_NATIVE,ses_06r_S3,203.28,10.0
1788984674,REACT_NATIVE,ses_06r_S3,203.33,6.6
1788984676,REACT_NATIVE,ses_06r_S3,202.77,20.0
1788984677,REACT_NATIVE,ses_06r_S3,202.97,59.3
1788984678,REACT_NATIVE,ses_06r_S3,204.26,13.3
1788984679,REACT_NATIVE,ses_06r_S3,203.94,50.0
1788984681,REACT_NATIVE,ses_06r_S3,205.49,36.6
1788984682,REACT_NATIVE,ses_06r_S3,205.20,6.6
1788984683,REACT_NATIVE,ses_06r_S3,205.05,6.6
1788984684,REACT_NATIVE,ses_06r_S3,204.96,6.6
1788984685,REACT_NATIVE,ses_06r_S3,205.28,50.0
1788984687,REACT_NATIVE,ses_06r_S3,205.23,13.3
1788984688,REACT_NATIVE,ses_06r_S3,204.80,43.7
1788984689,REACT_NATIVE,ses_06r_S3,205.23,53.3
1788984690,REACT_NATIVE,ses_06r_S3,205.00,86.6
1788984692,REACT_NATIVE,ses_06r_S3,206.41,16.6
1788984693,REACT_NATIVE,ses_06r_S3,206.09,13.3
1788984694,REACT_NATIVE,ses_06r_S3,207.03,6.4
1788984695,REACT_NATIVE,ses_06r_S3,206.47,16.6
1788984697,REACT_NATIVE,ses_06r_S3,206.32,71.8
1788984698,REACT_NATIVE,ses_06r_S3,207.44,90.0
1788984699,REACT_NATIVE,ses_06r_S3,207.84,36.6
1788984700,REACT_NATIVE,ses_06r_S3,207.63,12.9
1788984702,REACT_NATIVE,ses_06r_S3,207.43,26.6
1788984703,REACT_NATIVE,ses_06r_S3,207.47,33.3
1788984704,REACT_NATIVE,ses_06r_S3,207.14,30.0
1788984705,REACT_NATIVE,ses_06r_S3,207.70,13.3
1788984707,REACT_NATIVE,ses_06r_S3,206.90,20.0
1788984708,REACT_NATIVE,ses_06r_S3,206.94,77.4
1788984709,REACT_NATIVE,ses_06r_S3,207.73,23.3
1788984710,REACT_NATIVE,ses_06r_S3,207.26,63.3
1788984711,REACT_NATIVE,ses_06r_S3,208.90,13.3
1788984713,REACT_NATIVE,ses_06r_S3,208.38,20.0
1788984714,REACT_NATIVE,ses_06r_S3,209.63,6.4
1788984715,REACT_NATIVE,ses_06r_S3,209.02,66.6
1788984716,REACT_NATIVE,ses_06r_S3,209.01,100
1788984718,REACT_NATIVE,ses_06r_S3,208.95,13.3
1788984719,REACT_NATIVE,ses_06r_S3,208.95,33.3
1788984720,REACT_NATIVE,ses_06r_S3,208.95,33.3
1788984721,REACT_NATIVE,ses_06r_S3,208.53,43.3
1788984722,REACT_NATIVE,ses_06r_S3,209.60,13.3
1788984724,REACT_NATIVE,ses_06r_S3,208.76,13.3
1788984725,REACT_NATIVE,ses_06r_S3,209.81,28.1
1788984726,REACT_NATIVE,ses_06r_S3,209.70,63.3
1788984727,REACT_NATIVE,ses_06r_S3,209.66,56.6
1788984729,REACT_NATIVE,ses_06r_S3,210.41,13.3
1788984730,REACT_NATIVE,ses_06r_S3,209.90,16.6
1788984731,REACT_NATIVE,ses_06r_S3,211.96,6.4
1788984732,REACT_NATIVE,ses_06r_S3,211.54,61.2
1788984734,REACT_NATIVE,ses_06r_S3,211.33,90.0
1788984735,REACT_NATIVE,ses_06r_S3,211.26,58.0
1788984736,REACT_NATIVE,ses_06r_S3,211.02,36.6
1788984737,REACT_NATIVE,ses_06r_S3,211.18,26.6
1788984739,REACT_NATIVE,ses_06r_S3,210.56,40.0
1788984740,REACT_NATIVE,ses_06r_S3,211.29,20.0
1788984741,REACT_NATIVE,ses_06r_S3,210.68,10.0
1788984742,REACT_NATIVE,ses_06r_S3,211.65,16.6
1788984744,REACT_NATIVE,ses_06r_S3,211.12,13.3
1788984745,REACT_NATIVE,ses_06r_S3,212.41,6.4
1788984746,REACT_NATIVE,ses_06r_S3,211.95,13.3
1788984747,REACT_NATIVE,ses_06r_S3,212.80,15.6
1788984749,REACT_NATIVE,ses_06r_S3,212.95,63.3
1788984750,REACT_NATIVE,ses_06r_S3,212.79,93.3
1788984751,REACT_NATIVE,ses_06r_S3,212.64,36.6
1788984752,REACT_NATIVE,ses_06r_S3,212.36,40.0
1788984753,REACT_NATIVE,ses_06r_S3,212.55,33.3
1788984755,REACT_NATIVE,ses_06r_S3,212.08,23.3
1788984756,REACT_NATIVE,ses_06r_S3,212.91,6.4
1788984757,REACT_NATIVE,ses_06r_S3,212.11,13.3
1788984758,REACT_NATIVE,ses_06r_S3,213.24,6.4
1788984760,REACT_NATIVE,ses_06r_S3,212.99,53.3
1788984761,REACT_NATIVE,ses_06r_S3,212.94,20.0
1788984762,REACT_NATIVE,ses_06r_S3,213.79,10.0
1788984763,REACT_NATIVE,ses_06r_S3,213.18,20.0
1788984765,REACT_NATIVE,ses_06r_S3,214.71,6.4
1788984766,REACT_NATIVE,ses_06r_S3,214.63,64.5
1788984767,REACT_NATIVE,ses_06r_S3,215.13,90.0
1788984768,REACT_NATIVE,ses_06r_S3,214.98,46.6
1788984770,REACT_NATIVE,ses_06r_S3,214.69,45.1
1788984771,REACT_NATIVE,ses_06r_S3,214.90,30.0
1788984772,REACT_NATIVE,ses_06r_S3,214.13,70.0
1788984773,REACT_NATIVE,ses_06r_S3,214.91,20.0
1788984775,REACT_NATIVE,ses_06r_S3,214.20,20.0
1788984776,REACT_NATIVE,ses_06r_S3,215.01,6.6
1788984777,REACT_NATIVE,ses_06r_S3,214.61,26.6
1788984778,REACT_NATIVE,ses_06r_S3,214.51,63.3
1788984780,REACT_NATIVE,ses_06r_S3,215.70,16.6
1788984781,REACT_NATIVE,ses_06r_S3,215.07,13.3
1788984782,REACT_NATIVE,ses_06r_S3,217.64,20.0
1788984783,REACT_NATIVE,ses_06r_S3,216.91,63.3
1788984785,REACT_NATIVE,ses_06r_S3,216.67,100
1788984786,REACT_NATIVE,ses_06r_S3,216.62,40.0
1788984787,REACT_NATIVE,ses_06r_S3,216.36,36.6
1788984788,REACT_NATIVE,ses_06r_S3,216.51,30.0
1788984790,REACT_NATIVE,ses_06r_S3,216.09,23.3
1788984791,REACT_NATIVE,ses_06r_S3,216.83,13.3
1788984792,REACT_NATIVE,ses_06r_S3,216.43,16.6
1788984793,REACT_NATIVE,ses_06r_S3,217.65,20.0
1788984795,REACT_NATIVE,ses_06r_S3,217.19,16.1
1788984796,REACT_NATIVE,ses_06r_S3,217.08,80.0
1788984797,REACT_NATIVE,ses_06r_S3,217.89,20.0
1788984798,REACT_NATIVE,ses_06r_S3,217.40,33.3
1788984799,REACT_NATIVE,ses_06r_S3,219.16,26.6
1788984801,REACT_NATIVE,ses_06r_S3,218.54,10.0
1788984802,REACT_NATIVE,ses_06r_S3,218.00,74.1
1788984803,REACT_NATIVE,ses_06r_S3,218.68,103
1788984804,REACT_NATIVE,ses_06r_S3,218.12,33.3
1788984806,REACT_NATIVE,ses_06r_S3,218.45,16.6
1788984807,REACT_NATIVE,ses_06r_S3,217.43,106
1788984808,REACT_NATIVE,ses_06r_S3,218.25,16.6
1788984809,REACT_NATIVE,ses_06r_S3,217.75,10.0
1788984811,REACT_NATIVE,ses_06r_S3,218.52,20.0
1788984812,REACT_NATIVE,ses_06r_S3,218.09,16.6
1788984813,REACT_NATIVE,ses_06r_S3,218.00,72.7
1788984814,REACT_NATIVE,ses_06r_S3,218.91,13.3
1788984816,REACT_NATIVE,ses_06r_S3,218.45,26.6
1788984817,REACT_NATIVE,ses_06r_S3,221.33,30.0
1788984818,REACT_NATIVE,ses_06r_S3,220.44,10.0
1788984819,REACT_NATIVE,ses_06r_S3,219.73,66.6
1788984821,REACT_NATIVE,ses_06r_S3,219.83,103
1788984822,REACT_NATIVE,ses_06r_S3,219.58,30.0
1788984823,REACT_NATIVE,ses_06r_S3,219.95,13.3
1788984824,REACT_NATIVE,ses_06r_S3,219.11,66.6
1788984826,REACT_NATIVE,ses_06r_S3,219.79,10.0
1788984827,REACT_NATIVE,ses_06r_S3,219.43,16.6
1788984828,REACT_NATIVE,ses_06r_S3,220.16,9.6
1788984829,REACT_NATIVE,ses_06r_S3,220.78,22.5
1788984831,REACT_NATIVE,ses_06r_S3,220.38,93.3
1788984832,REACT_NATIVE,ses_06r_S3,221.05,16.6
1788984833,REACT_NATIVE,ses_06r_S3,220.52,136
1788984834,REACT_NATIVE,ses_06r_S3,222.55,20.0
1788984836,REACT_NATIVE,ses_06r_S3,221.99,13.3
1788984837,REACT_NATIVE,ses_06r_S3,221.10,10.0
1788984838,REACT_NATIVE,ses_06r_S3,220.84,60.0
1788984839,REACT_NATIVE,ses_06r_S3,221.05,66.6
1788984841,REACT_NATIVE,ses_06r_S3,221.25,13.3
1788984842,REACT_NATIVE,ses_06r_S3,220.45,56.2
1788984843,REACT_NATIVE,ses_06r_S3,221.41,40.0
1788984844,REACT_NATIVE,ses_06r_S3,221.08,75.8
1788984846,REACT_NATIVE,ses_06r_S3,221.65,10.0
1788984847,REACT_NATIVE,ses_06r_S3,221.37,13.3
1788984848,REACT_NATIVE,ses_06r_S3,221.89,6.2
1788984849,REACT_NATIVE,ses_06r_S3,221.56,13.3
1788984851,REACT_NATIVE,ses_06r_S3,221.47,141
1788984852,REACT_NATIVE,ses_06r_S3,224.72,26.6
1788984853,REACT_NATIVE,ses_06r_S3,223.99,16.6
1788984855,REACT_NATIVE,ses_06r_S3,223.46,16.6
1788984856,REACT_NATIVE,ses_06r_S3,223.36,6.6
1788984857,REACT_NATIVE,ses_06r_S3,223.01,80.6
1788984858,REACT_NATIVE,ses_06r_S3,223.21,16.6
1788984859,REACT_NATIVE,ses_06r_S3,222.70,31.2
1788984861,REACT_NATIVE,ses_06r_S3,222.81,46.6
1788984862,REACT_NATIVE,ses_06r_S3,222.63,90.0
1788984863,REACT_NATIVE,ses_06r_S3,224.18,13.3
1788984864,REACT_NATIVE,ses_06r_S3,223.81,20.0
1788984866,REACT_NATIVE,ses_06r_S3,224.37,16.6
1788984867,REACT_NATIVE,ses_06r_S3,223.78,16.6
1788984868,REACT_NATIVE,ses_06r_S3,223.76,46.8
1788984869,REACT_NATIVE,ses_06r_S3,225.97,46.6
1788984871,REACT_NATIVE,ses_06r_S3,225.45,10.0
1788984872,REACT_NATIVE,ses_06r_S3,224.79,13.3
1788984873,REACT_NATIVE,ses_06r_S3,224.87,9.6
1788984874,REACT_NATIVE,ses_06r_S3,225.13,40.0
1788984876,REACT_NATIVE,ses_06r_S3,224.39,33.3
1788984877,REACT_NATIVE,ses_06r_S3,224.84,13.3
1788984878,REACT_NATIVE,ses_06r_S3,224.03,16.6
1788984879,REACT_NATIVE,ses_06r_S3,224.00,77.4
1788984881,REACT_NATIVE,ses_06r_S3,224.91,23.3
1788984882,REACT_NATIVE,ses_06r_S3,224.55,12.9
1788984883,REACT_NATIVE,ses_06r_S3,225.37,12.9
1788984884,REACT_NATIVE,ses_06r_S3,224.75,10.0
1788984886,REACT_NATIVE,ses_06r_S3,227.95,20.0
1788984887,REACT_NATIVE,ses_06r_S3,227.27,10.0
1788984888,REACT_NATIVE,ses_06r_S3,226.71,70.0
1788984889,REACT_NATIVE,ses_06r_S3,226.39,90.3
1788984891,REACT_NATIVE,ses_06r_S3,226.34,36.6
1788984892,REACT_NATIVE,ses_06r_S3,226.62,20.0
1788984893,REACT_NATIVE,ses_06r_S3,225.82,79.4
1788984894,REACT_NATIVE,ses_06r_S3,226.45,16.6
1788984896,REACT_NATIVE,ses_06r_S3,225.94,80.0
1788984897,REACT_NATIVE,ses_06r_S3,227.41,16.6
1788984898,REACT_NATIVE,ses_06r_S3,227.11,16.6
1788984899,REACT_NATIVE,ses_06r_S3,227.81,9.6
1788984901,REACT_NATIVE,ses_06r_S3,227.36,16.1
1788984902,REACT_NATIVE,ses_06r_S3,227.29,118
1788984903,REACT_NATIVE,ses_06r_S3,229.56,20.0
