timestamp,platform,run_id,pss_mb,cpu_percent
1788957507,REACT_NATIVE,ses_04r_S2,53.40,218
1788957508,REACT_NATIVE,ses_04r_S2,158.16,3.3
1788957509,REACT_NATIVE,ses_04r_S2,156.28,20.0
1788957510,REACT_NATIVE,ses_04r_S2,156.73,23.3
1788957512,REACT_NATIVE,ses_04r_S2,159.63,6.6
1788957513,REACT_NATIVE,ses_04r_S2,156.15,3.2
1788957514,REACT_NATIVE,ses_04r_S2,155.89,53.3
1788957515,REACT_NATIVE,ses_04r_S2,156.68,26.6
1788957516,REACT_NATIVE,ses_04r_S2,156.68,3.3
1788957518,REACT_NATIVE,ses_04r_S2,156.23,16.6
1788957519,REACT_NATIVE,ses_04r_S2,158.17,6.6
1788957520,REACT_NATIVE,ses_04r_S2,149.23,16.6
1788957521,REACT_NATIVE,ses_04r_S2,148.99,54.8
1788957522,REACT_NATIVE,ses_04r_S2,149.62,20.0
1788957524,REACT_NATIVE,ses_04r_S2,149.32,26.6
1788957525,REACT_NATIVE,ses_04r_S2,149.42,23.3
1788957526,REACT_NATIVE,ses_04r_S2,150.24,6.6
1788957527,REACT_NATIVE,ses_04r_S2,149.29,10.0
1788957529,REACT_NATIVE,ses_04r_S2,149.09,54.8
1788957530,REACT_NATIVE,ses_04r_S2,149.80,20.0
1788957531,REACT_NATIVE,ses_04r_S2,149.69,20.0
1788957532,REACT_NATIVE,ses_04r_S2,149.55,56.6
1788957533,REACT_NATIVE,ses_04r_S2,150.36,6.6
1788957535,REACT_NATIVE,ses_04r_S2,149.68,3.3
1788957536,REACT_NATIVE,ses_04r_S2,150.22,3.3
1788957537,REACT_NATIVE,ses_04r_S2,150.57,33.3
1788957538,REACT_NATIVE,ses_04r_S2,149.77,23.3
1788957539,REACT_NATIVE,ses_04r_S2,149.98,13.3
1788957541,REACT_NATIVE,ses_04r_S2,150.95,6.6
1788957542,REACT_NATIVE,ses_04r_S2,150.37,9.6
1788957543,REACT_NATIVE,ses_04r_S2,149.82,100
1788957544,REACT_NATIVE,ses_04r_S2,150.50,38.7
1788957546,REACT_NATIVE,ses_04r_S2,150.31,23.3
1788957547,REACT_NATIVE,ses_04r_S2,149.94,56.6
1788957548,REACT_NATIVE,ses_04r_S2,150.83,13.3
1788957549,REACT_NATIVE,ses_04r_S2,150.06,10.0
1788957550,REACT_NATIVE,ses_04r_S2,150.30,10.0
1788957552,REACT_NATIVE,ses_04r_S2,150.67,61.2
1788957553,REACT_NATIVE,ses_04r_S2,150.02,26.6
1788957554,REACT_NATIVE,ses_04r_S2,150.04,60.0
1788957555,REACT_NATIVE,ses_04r_S2,151.00,16.6
1788957557,REACT_NATIVE,ses_04r_S2,150.30,9.6
1788957558,REACT_NATIVE,ses_04r_S2,150.95,43.3
1788957559,REACT_NATIVE,ses_04r_S2,150.92,70.0
1788957560,REACT_NATIVE,ses_04r_S2,150.45,16.6
1788957562,REACT_NATIVE,ses_04r_S2,150.36,80.0
1788957563,REACT_NATIVE,ses_04r_S2,150.99,10.0
1788957564,REACT_NATIVE,ses_04r_S2,150.46,10.0
1788957565,REACT_NATIVE,ses_04r_S2,150.78,10.0
1788957566,REACT_NATIVE,ses_04r_S2,151.12,16.6
1788957568,REACT_NATIVE,ses_04r_S2,150.33,13.3
1788957569,REACT_NATIVE,ses_04r_S2,150.36,70.0
1788957570,REACT_NATIVE,ses_04r_S2,151.16,12.9
1788957571,REACT_NATIVE,ses_04r_S2,150.52,9.6
1788957573,REACT_NATIVE,ses_04r_S2,151.19,12.9
1788957574,REACT_NATIVE,ses_04r_S2,151.14,20.0
1788957575,REACT_NATIVE,ses_04r_S2,150.20,13.3
1788957576,REACT_NATIVE,ses_04r_S2,150.33,77.1
1788957578,REACT_NATIVE,ses_04r_S2,151.39,6.6
1788957579,REACT_NATIVE,ses_04r_S2,150.72,9.6
1788957580,REACT_NATIVE,ses_04r_S2,151.12,33.3
1788957581,REACT_NATIVE,ses_04r_S2,151.37,10.0
1788957583,REACT_NATIVE,ses_04r_S2,150.64,12.9
1788957584,REACT_NATIVE,ses_04r_S2,151.51,3.2
1788957585,REACT_NATIVE,ses_04r_S2,151.04,48.3
1788957586,REACT_NATIVE,ses_04r_S2,150.72,60.0
1788957588,REACT_NATIVE,ses_04r_S2,151.24,33.3
1788957589,REACT_NATIVE,ses_04r_S2,151.49,23.3
1788957590,REACT_NATIVE,ses_04r_S2,150.84,33.3
1788957591,REACT_NATIVE,ses_04r_S2,151.93,13.3
1788957593,REACT_NATIVE,ses_04r_S2,151.18,6.4
1788957594,REACT_NATIVE,ses_04r_S2,150.97,93.3
1788957595,REACT_NATIVE,ses_04r_S2,151.49,33.3
1788957596,REACT_NATIVE,ses_04r_S2,151.39,40.0
1788957597,REACT_NATIVE,ses_04r_S2,151.01,26.6
1788957599,REACT_NATIVE,ses_04r_S2,151.97,13.3
1788957600,REACT_NATIVE,ses_04r_S2,151.15,6.6
1788957601,REACT_NATIVE,ses_04r_S2,150.93,100
1788957602,REACT_NATIVE,ses_04r_S2,151.49,26.6
1788957604,REACT_NATIVE,ses_04r_S2,151.62,26.6
1788957605,REACT_NATIVE,ses_04r_S2,151.02,33.3
1788957606,REACT_NATIVE,ses_04r_S2,152.30,16.6
1788957607,REACT_NATIVE,ses_04r_S2,151.43,3.2
1788957608,REACT_NATIVE,ses_04r_S2,151.22,83.8
1788957610,REACT_NATIVE,ses_04r_S2,152.13,33.3
1788957611,REACT_NATIVE,ses_04r_S2,151.90,30.0
1788957612,REACT_NATIVE,ses_04r_S2,151.58,16.6
1788957613,REACT_NATIVE,ses_04r_S2,152.35,13.3
1788957615,REACT_NATIVE,ses_04r_S2,151.53,10.0
1788957616,REACT_NATIVE,ses_04r_S2,152.06,10.0
1788957617,REACT_NATIVE,ses_04r_S2,152.15,40.0
1788957618,REACT_NATIVE,ses_04r_S2,151.35,13.3
1788957620,REACT_NATIVE,ses_04r_S2,151.48,78.7
1788957621,REACT_NATIVE,ses_04r_S2,152.27,6.6
1788957622,REACT_NATIVE,ses_04r_S2,151.58,26.6
1788957623,REACT_NATIVE,ses_04r_S2,152.00,33.3
1788957625,REACT_NATIVE,ses_04r_S2,152.18,9.6
1788957626,REACT_NATIVE,ses_04r_S2,151.45,33.3
1788957627,REACT_NATIVE,ses_04r_S2,152.83,16.1
1788957628,REACT_NATIVE,ses_04r_S2,151.82,16.1
1788957630,REACT_NATIVE,ses_04r_S2,151.60,66.6
1788957631,REACT_NATIVE,ses_04r_S2,152.15,33.3
1788957632,REACT_NATIVE,ses_04r_S2,152.28,12.9
1788957633,REACT_NATIVE,ses_04r_S2,151.61,33.3
1788957634,REACT_NATIVE,ses_04r_S2,152.84,10.0
1788957636,REACT_NATIVE,ses_04r_S2,152.00,10.0
1788957637,REACT_NATIVE,ses_04r_S2,152.03,36.6
1788957638,REACT_NATIVE,ses_04r_S2,152.71,63.3
1788957639,REACT_NATIVE,ses_04r_S2,151.92,16.6
1788957641,REACT_NATIVE,ses_04r_S2,152.03,110
1788957642,REACT_NATIVE,ses_04r_S2,152.55,10.0
1788957643,REACT_NATIVE,ses_04r_S2,151.99,10.0
1788957644,REACT_NATIVE,ses_04r_S2,152.36,20.0
1788957646,REACT_NATIVE,ses_04r_S2,152.76,6.6
1788957647,REACT_NATIVE,ses_04r_S2,151.77,16.1
1788957648,REACT_NATIVE,ses_04r_S2,151.99,78.1
1788957649,REACT_NATIVE,ses_04r_S2,152.66,6.6
1788957650,REACT_NATIVE,ses_04r_S2,151.99,10.0
1788957652,REACT_NATIVE,ses_04r_S2,152.44,33.3
1788957653,REACT_NATIVE,ses_04r_S2,152.94,13.3
1788957654,REACT_NATIVE,ses_04r_S2,151.91,26.6
1788957655,REACT_NATIVE,ses_04r_S2,153.15,3.3
1788957657,REACT_NATIVE,ses_04r_S2,152.35,38.7
1788957658,REACT_NATIVE,ses_04r_S2,152.07,103
1788957659,REACT_NATIVE,ses_04r_S2,152.54,33.3
1788957660,REACT_NATIVE,ses_04r_S2,152.56,6.4
1788957661,REACT_NATIVE,ses_04r_S2,152.01,16.6
